player_id,player_name,position,n_forechecks,n_rows,pos_total,exec_total,press_total,press_per_forecheck
c41b546c-c200-fe0d-b46c-fe319e2e42e6,"Rooney, Kevin",C,5,21.0,0.4233830747038616,1.0473972077598015,1.470780282463663,0.2941560564927327
3234f05b-aafa-95e9-07e3-c23dea148f88,"Joseph, Pierre-Olivier",D,7,18.0,0.4944832955733907,0.93292474951868,1.4274080450920703,0.2039154350131529
9e9f0d39-c731-c9ca-363a-b83c1659dcc9,"Lagesson, William",D,2,5.0,0.2380708810814371,0.1518502028761648,0.389921083957602,0.194960541978801
ad2dce89-80cd-8d6b-b384-e114ceaafcf6,"Bystedt, Filip",F,1,,0.0124689259981509,0.1510204076766657,0.1634893336748167,0.1634893336748167
0db6b956-4b7f-d666-f861-49683999fe78,"Guy, Brayden",F,3,11.0,0.1626564892408867,0.2839503354293625,0.4466068246702492,0.1488689415567497
f3f56298-88cb-fe2b-48b6-23b863499c12,"Swetlikoff, Alex",F,1,,-0.0181447033996996,0.1489361703395544,0.1307914669398547,0.1307914669398547
a8710019-ad52-0061-c08f-181079c2ff0e,"Johannes, Hunter",LW,1,,-0.0588992548401692,0.1896907217800237,0.1307914669398545,0.1307914669398545
c680ffcc-b3f4-241e-b204-4427348d5e37,"Berzolla, Zach",D,1,,-0.0498252724523899,0.1806167393922444,0.1307914669398545,0.1307914669398545
f238b29a-5e55-3d84-643f-638f06a70428,"Hirano, Yushiroh",RW,1,,-0.005730271827742,0.1365217387675965,0.1307914669398544,0.1307914669398544
c51c4508-f268-b8c5-0cb1-26b9859a9083,"Tverberg, Ryan",F,1,,-0.0057302718277419,0.1365217387675962,0.1307914669398543,0.1307914669398543
0ab603b4-dfe0-01a2-90a2-e98048b67f73,"Guay, Patrick",LW,3,,-0.011846264426604,0.4042206652461659,0.3923744008195619,0.1307914669398539
3b5ef339-2b52-54ae-e4df-883f892a0f9c,"Novak, Pavel",F,2,,0.0456377138861606,0.2159452199935471,0.2615829338797078,0.1307914669398539
4547b0f8-61ed-35aa-c402-92122503bf23,"O'Leary, Mike",C,2,,0.0456377138861606,0.2159452199935471,0.2615829338797078,0.1307914669398539
e51b20db-ecd3-089c-83db-53cc58eb73db,"Cataford, Mathieu",RW,1,,0.0527772838954358,0.0780141830444179,0.1307914669398538,0.1307914669398538
f5bee3f3-4729-b54f-daac-180b56d418a0,"Stinil, Michal",LW,1,,-7.273007588160508e-05,0.1308641970157354,0.1307914669398538,0.1307914669398538
8c8bb5e3-c1bf-5fe7-5c06-9c2edca91261,"Onyebuchi, Montana",D,2,,0.0756948580511927,0.1858880758285145,0.2615829338797073,0.1307914669398536
0cdec058-c5f4-0045-d7bc-01b73ecdfb07,"Theisen, Colin",F,2,,0.0756948580511927,0.1858880758285145,0.2615829338797073,0.1307914669398536
f9459d9f-883c-1e56-921f-2f33d390fccc,"Lipkin, Sam",F,2,,0.0756948580511927,0.1858880758285145,0.2615829338797073,0.1307914669398536
b4ed4c55-1ff5-c6da-3d59-02be349c18a3,"Frasca, Jordan",LW,1,,-0.005730271827742,0.1365217387675956,0.1307914669398536,0.1307914669398536
3d51cf58-a965-64fe-156c-8c3d1783c70e,"Cosgrove, Trevor",D,1,,0.018851166475246,0.1119403004646075,0.1307914669398535,0.1307914669398535
bb5dc6ab-b554-7e5e-317b-fa615a4a94e5,"Fulp, Aidan",D,3,,0.0565534994257376,0.335820901393822,0.3923744008195596,0.1307914669398532
0131498e-6f12-f0f1-258e-5342af404745,"Morton, Sam",C,5,,0.1211369072816236,0.5328204274176411,0.6539573346992648,0.1307914669398529
2685e5a3-f4c9-55da-5687-4afbf692ce02,"Bell, Parker",LW,4,,0.1247454385297608,0.3984204292296509,0.5231658677594118,0.1307914669398529
dc9f0cfa-c199-04a2-6250-6e0930eecb0d,"Kerins, Rory",C,4,,0.1247454385297608,0.3984204292296509,0.5231658677594118,0.1307914669398529
7c6b27d0-8b1b-dd6d-cfed-b6769b895e8d,"Maggio, Matthew",F,5,,0.1036064898393021,0.5503508448599622,0.6539573346992644,0.1307914669398528
da1e315e-d850-b54c-fd20-780097393ec1,"McKinnon, Ian",F,1,,0.0307914669398743,0.0999999999999785,0.1307914669398528,0.1307914669398528
09f381c0-6a47-8eff-31ea-e1c938853285,"Mcallister, Ryan",F,1,,0.0378474290255965,0.0929440379142561,0.1307914669398527,0.1307914669398527
3ab76805-5e56-a960-0295-c331ce09ab46,"Duarte, Mark",RW,1,,0.0264436418895199,0.1043478250503326,0.1307914669398526,0.1307914669398526
dadedaa6-e902-9a20-3ed6-79615ec3037d,"van De Leest, Jackson",D,1,,0.0188511664752458,0.1119403004646064,0.1307914669398522,0.1307914669398522
fb552805-85bd-8c07-47c1-c5d02c994def,"Honzek, Samuel",LW,1,,0.0264436418895201,0.1043478250503316,0.1307914669398518,0.1307914669398518
faf5e9e0-21ec-2d97-a6f5-98596729e066,"Krys, Luke",D,1,,-0.0366503929014586,0.1674418598413103,0.1307914669398517,0.1307914669398517
9120172d-54de-9906-e916-1e5ce36bfcc8,"Hryckowian, Justin",C,1,,-0.0366503929014586,0.1674418598413103,0.1307914669398517,0.1307914669398517
1478b5df-3f0a-5c6c-2819-58f814f92e05,"McClennon, Connor",F,2,,-0.0406197110644211,0.3022026449441242,0.261582933879703,0.1307914669398515
0bd61d8a-c664-b1f0-5ec3-6ecf708679d7,"Vanroboys, Lucas",F,1,,-0.0498252724523896,0.1806167393922407,0.130791466939851,0.130791466939851
