player_id,player_name,n_press,n_rows,participation_total,participation_per_press,participation_rank,distance_total,distance_per_press,distance_rank,check_total,check_per_press,check_rank,position
fb7c222c-ebe7-4beb-3638-c0b60a15a0fd,"Chartier, Rourke",56.0,204.0,-0.4203244940683878,-0.0075057945369354,800.0,0.6957777145840561,0.0124246020461438,321.0,0.0364254622665721,0.0007285092453314,485.0,F
d85ec4b9-edd3-0949-8aa2-d27637d19918,"Crookshank, Angus",146.0,362.0,-0.6230635031402648,-0.0042675582406867,681.0,0.157090506116522,0.0010985350078078,426.0,0.0493438206640111,0.000474459814077,486.0,LW
19c643ff-fb68-0999-d76d-840158053e4a,"Doty, Jacob",128.0,400.0,-0.9484717376133982,-0.0074099354501046,793.0,-0.4401671466049519,-0.0038952844832296,501.0,0.0482074523149004,0.0004343013722063,487.0,F
987469e8-a8b0-b09d-8171-9c3094253328,"Samorukov, Dmitri",281.0,327.0,0.6375133752035366,0.0022687308726104,439.0,-3.20094960836416,-0.0142899536087685,739.0,0.0579039432870566,0.0003939043761024,488.0,D
f5fcdc05-b825-c3c6-187d-b79bb81ea956,"Rosen, Isak",175.0,531.0,-1.7470167480809486,-0.0099829528461768,859.0,-1.7008583047757633,-0.0104347135262316,640.0,0.0567189918918544,0.0003858434822575,489.0,RW
9deea627-59bf-c37e-d041-5160edc3ac73,"Boqvist, Jesper",109.0,423.0,0.7916364270760645,0.0072627195144593,260.0,2.55600212611786,0.0250588443737045,183.0,0.0064130442413014,6.287298275785688e-05,490.0,C
add3d394-1378-64cf-5d00-dc6027bcf5bd,"Slavin, Josiah",269.0,974.0,0.0809699930216337,0.0003010036915302,512.0,10.321153856078778,0.040160131735715,72.0,0.0136092136414821,5.554781078155981e-05,491.0,LW
17494d44-9ff1-9cf3-5f99-cc754342c12f,"Bishop, Clark",176.0,629.0,1.4244045126773677,0.0080932074583941,237.0,6.9861441625000955,0.0408546442251467,65.0,-0.008452245104988,-5.217435249992654e-05,492.0,C
d5313105-925e-e8bd-e752-74e47b2ca328,"Robertson, Matthew",274.0,260.0,-0.7120772272621532,-0.0025988219973071,630.0,-3.7648459975710336,-0.0145924263471745,744.0,-0.008661436325007,-6.766747128911753e-05,493.0,D
3f1cb8fd-1aa5-5b5c-a0f1-d8dbb7756d87,"Durandeau, Arnaud",172.0,637.0,0.0638985810653645,0.000371503378287,510.0,5.202934431054536,0.0299019220175548,132.0,-0.0120545995925922,-7.395459872755983e-05,494.0,LW
16639321-8e4f-7071-4f1a-276266715f99,"Peca, Matthew",146.0,449.0,-0.3457373807862289,-0.0023680642519604,620.0,2.549367853863864,0.0180806230770486,256.0,-0.0642836642789195,-0.0004983229789063,495.0,C
18661cc1-b9d0-2e30-154e-9ae1b75e54e8,"Healey, Josh",156.0,182.0,1.032431960921145,0.0066181535956483,278.0,-0.8422269035107711,-0.005433721958134,526.0,-0.0514033184898312,-0.0006268697376808,496.0,D
393edf9b-c8b4-b93c-4a23-c0b2ed585c9d,"Thompson, Keaton",57.0,129.0,0.1260711793440336,0.0022117750762111,441.0,-0.3398698420999899,-0.0057605057983049,534.0,-0.0282750620662157,-0.0007068765516553,497.0,D
7e3477b8-f45a-94a8-5f27-568c76857979,"Twarynski, Carsen",71.0,213.0,-0.6959641777157477,-0.0098023123621936,854.0,1.53528679508173,0.0219326685011675,220.0,-0.0471326129497139,-0.0007726657860608,498.0,LW
cce167f2-c8fd-27c9-a350-0a4931c5b132,"Megna, Jayson",226.0,908.0,0.0007315654803449,3.2370153997565293e-06,526.0,4.296408385136447,0.0196183031284769,240.0,-0.1678380113214883,-0.0007842897725303,499.0,C
a855a24c-10d7-480c-5f02-f40cacd514f9,"Luff, Matt",98.0,352.0,1.2100162828564789,0.0123471049271069,131.0,2.5496321223818983,0.0268382328671778,160.0,-0.0759134140723039,-0.0008251458051337,500.0,RW
a89675de-e91c-1bde-8b0b-ba8780b2295c,"Brazeau, Justin",151.0,613.0,-1.2137590137241214,-0.0080381391637359,814.0,0.7835078096543706,0.0057610868356939,379.0,-0.1268284455212978,-0.0008627785409612,501.0,RW
85ee3269-0c02-823e-7fe2-a1a0b0566cd7,"Chaffee, Mitchell",125.0,401.0,0.811139799953478,0.0064891183996278,282.0,4.48432379973649,0.0403993135111395,71.0,-0.1338579493455411,-0.001287095666784,502.0,RW
