model,log_loss,mean_success_hazard,mean_failure_hazard
gbm_hist,0.11157191301920658,0.0677081898651904,0.12399915074922646
neural_net_mlp,0.1613980701415844,0.06473745311963627,0.12405514036065385
multinomial_logit,0.41545212206798016,0.17305109641756342,0.18448062680684021
