player_id,player_name,position,n_forechecks,total,total_per_forecheck
45600aff-c442-b856-6e9a-ae22ed437997,"Attard, Ronald",D,250,2.2638695045359394,0.0090554780181437
4f0a5304-b10d-cc26-c5ba-05b618309cc4,"Trineyev, Bogdan",RW,173,2.211444521981857,0.0127829163120338
6216d68a-d22f-ad77-1830-61fb2ceef304,"Rueschhoff, Austin",RW,207,2.210011630611771,0.0106763846889457
af1d2155-8151-1411-7139-22b219311670,"Perreault, Jacob",RW,122,2.198230983949756,0.0180182867536865
65c9be45-0771-6bcb-0263-5b74fc8423af,"Carrick, Trevor",D,314,2.1813770644335904,0.0069470607147566
dcfd5d40-4240-1426-b224-8da9ede17716,"Khodorenko, Patrick",C,201,2.1316375901372417,0.0106051621399862
65195a5e-8639-a163-d566-03adc8582060,"Tuomisto, Antti",D,208,2.112312165619912,0.0101553469500957
2498c93f-f70d-0583-16e2-611688ad59b1,"Demek, Jakub",F,242,2.1119783670621084,0.0087271833349673
5d03b81f-67cb-341f-bd17-e8a0a6527423,"Hunt, Brad",D,311,2.094746452663411,0.0067355191403968
8b9a3cb8-fe56-bdee-92ab-9dd83fa15593,"Asplund, Rasmus",C,235,2.049171900441964,0.0087198804274126
4772aa22-208f-44a0-8e47-0029da368b48,"Kasper, Marco",C,260,2.0469469644103286,0.0078728729400397
7356658c-38e1-ed2f-84ec-a3abbaceff57,"MacEachern, MacKenzie",LW,114,2.0449848802046993,0.0179384638614447
a0555634-4279-dde8-209b-5fb7664923b9,"Wilson, Garrett",LW,221,2.040225633868342,0.0092317901984992
0ac29755-f1de-15b2-904e-d17a9ed4fac8,"Fleury, Cale",D,252,2.023378692719238,0.0080292805266636
5d3ec04f-99d1-f8e7-920a-64e25e9453a6,"Lyle, Brady",D,215,2.019162595952548,0.009391453934663
03e51f3c-cfff-9ae9-5b2f-cb7e72a786cd,"Kindopp, Bryce",RW,101,1.995547801814376,0.0197578990278651
ec19bc8b-8413-3a35-3a64-922eeb62d5a7,"Jankowski, Mark",LW,131,1.9835066294487096,0.0151412719805245
a498fb15-dea2-c999-7f8c-63aa786b7bb7,"Gambardella, Joseph",C,221,1.9474342870434993,0.0088119198508755
27be5d93-9bc0-8a87-41dd-e96fea901efc,"Ceulemans, Corson",D,171,1.942477320307049,0.0113595164930236
17bf6332-f9af-d4f3-c60a-ed7cd976f2cc,"Bayreuther, Gavin",D,65,1.9257129565015123,0.0296263531769463
5c7cca9d-bfc2-3931-363d-daaebc4da409,"Willman, Maxwell",LW,158,1.9228715980460576,0.0121700734053547
ad46103a-4d3e-9234-dee6-f970fd779e79,"Blidh, Anton",F,208,1.9205687369155624,0.0092335035428632
933793a1-349e-90c0-babf-a1dd14e6511f,"Hatakka, Santeri",D,216,1.91670853686904,0.0088736506336529
e3640c9a-f167-a9fb-5b42-88d88654fe8a,"Lind, Kole",F,214,1.8977925098860209,0.0088681892985328
5a453d9b-d3e9-d3cf-af18-be043e9650b3,"Rempal, Sheldon",F,261,1.8957455222144692,0.0072633928054194
9d227775-ff40-8878-dbd2-b275f291952a,"Karlstrom, Fredrik",LW,214,1.890532682019075,0.008834264869248
05017054-7f2a-ab0a-f2bf-9c685b7f0789,"Mastrosimone, Robert",LW,142,1.8830460572226104,0.0132608877269197
2fcd5eda-6ffa-3088-c189-0b3342a16345,"Fortier, Gabriel",C,147,1.8685264014887188,0.0127110639557055
6d2cb984-e1e6-a715-26d2-93a528bb379b,"Bjork, Anders",LW,127,1.840868806699233,0.0144950299740097
67d7dce3-3de0-3021-706f-3f85c3ac4b11,"Abbandonato, Peter",LW,148,1.8399476622470348,0.0124320787989664
b8a3ba2c-d581-c3c6-e6ca-154f5e8ed1f3,"Frank, Ethen",C,173,1.8376715515236104,0.0106223789105411
e8fcf932-3019-3ccc-543b-67b8c8e584bb,"Petrovic, Alexander",D,326,1.8356199116073515,0.0056307359251759
1b0ec3d0-fbd0-112f-f859-6c6696f55dee,"Beckman, Adam",LW,235,1.8290032565712964,0.0077829925811544
eeb81509-6a0d-5320-8d5a-2c1e58d83af5,"Lycksell, Olle",RW,192,1.8130286113049552,0.0094428573505466
c05db9ee-e2c8-5bba-3a20-cee81b8b04c1,"Butcher, Will",D,154,1.8075087229588285,0.0117370696296027
e70f8783-350d-ffc7-9c50-bb5f21a9c1e9,"Mailloux, Logan",D,262,1.7956943475226803,0.0068537952195522
955da2f1-7e1c-2664-a321-5bb6d9f549bd,"Mukhamadullin, Shakir",D,258,1.7921923703186795,0.0069464820554987
4f269c7a-99a5-bd2f-9bb8-5ffeec578d52,"Henriksson, Karl",C,196,1.7544649918585724,0.0089513519992784
b460c5a3-506f-26e8-0bd1-3e354b96b1b5,"Sourdif, Justin",RW,194,1.7474098627587815,0.0090072673338081
08561f93-bc89-bd96-1bab-6905b3f7e9c7,"Villeneuve, William",D,217,1.7273168178646203,0.0079599853357816
aac0832e-8972-5a3d-7f15-1ac5c9e80727,"Shaw, Logan",F,209,1.7182170272156323,0.0082211341015102
7c6b27d0-8b1b-dd6d-cfed-b6769b895e8d,"Maggio, Matthew",F,163,1.7071505001163063,0.0104733159516337
967d9997-756d-44cc-889a-8c024fc10a3c,"Robins, Tristen",F,124,1.7016817864619684,0.0137232402134029
d9161211-1630-84bf-6d4d-423ce053cd83,"Abruzzese, Nicholas",LW,234,1.6921679460339625,0.007231486948863
58b0c680-a304-643d-ce76-6451b920519a,"Rau, Kyle",F,135,1.6714922074901144,0.012381423759186
60c20331-7db0-a69c-c669-703d1c502f16,"Pulli, Valtteri",D,228,1.6685484996510824,0.0073181951739082
e936a4e7-0304-42aa-1ad8-269904d96714,"Karlsson, Linus",C,260,1.664815073272855,0.0064031348972032
1cd5766e-7d47-c25c-1803-8237c6d850a4,"Roe, Garrett",C,164,1.6606524773203075,0.0101259297397579
9c5a0e11-4272-5962-2621-08678ba1b301,"Kolyachonok, Vladislav",D,133,1.6584298674110265,0.012469397499331
116b08bc-a980-abc6-eb2d-8f3aebbd6f7d,"Limoges, Alex",F,187,1.631101418934637,0.0087224674809338
5f6e7132-7315-97d1-1833-90ef2671c403,"Regenda, Pavol",LW,193,1.630794370783904,0.0084497117657197
e11c278e-bb24-1555-240d-8556a7f63afb,"Sutter, Riley",C,200,1.6185752500581536,0.0080928762502907
c1474ad5-07a3-1a49-8e6a-f6d82239ff1b,"Element, Shawn",F,201,1.6089637124912777,0.0080047945895088
c8024fec-51b4-5225-e66f-bd6ebed34b9b,"Wiebe, Jaxsen",RW,84,1.5963154221912077,0.0190037550260858
e69dd394-c120-c096-00ba-2db135c0a1b1,"Dube, Pierrick",RW,204,1.5886927192370326,0.0077877094080246
663df049-a045-0561-16e3-1db633a0723e,"Aston-Reese, Zachary",C,179,1.5671446848104216,0.0087549982391643
28fee7d1-3bbb-19df-abd4-2e0febaadcea,"McIsaac, Jared",D,59,1.5652581995812982,0.0265297999929033
df12ad2d-04ed-754c-05a4-f9c7cfef7a32,"Gaucher, Jacob",F,140,1.5473098394975582,0.0110522131392682
42d8748f-fc64-ecc4-7d4b-36f4f690f0a6,"Malinski, Sam",D,159,1.5466445685043038,0.0097273243302157
f4381702-541d-bbce-d4ad-9ada397f80ec,"Cracknell, Adam",F,238,1.5359560362875095,0.0064535967911239
9085fb56-a0fb-48b9-366b-f9988acec99d,"Milne, Michael",F,124,1.5302605257036523,0.0123408106911584
ceb3ffdc-2d60-534b-ff06-be2066c3cf70,"Sandelin, Ryan",F,135,1.5083786927192375,0.0111731755016239
8b43652c-1ab8-e931-e045-ca9cd839d10b,"McCormick, Max",F,197,1.479439404512678,0.0075098446929577
5ce2531f-d048-1233-61ba-2fc6398d8ec3,"Sgarbossa, Michael",C,130,1.4752500581530592,0.0113480773704081
815dbceb-8111-3b17-f4aa-3b5c7a6c0c43,"Coghlan, Dylan",D,268,1.4751163061177026,0.0055041653213347
68279cec-5e6b-21a0-ab19-e021e0f21161,"Kampfer, Steven",D,175,1.4672470341939992,0.0083842687668228
a8b58f4d-a821-d7b0-b74e-f537ad471336,"Sautner, Ashton",D,269,1.4667062107466862,0.0054524394451549
e2e9d274-2a93-02e4-c3ce-b61e1a6e6599,"Kyrou, Christian",D,189,1.4631309606885328,0.0077414336544366
42e3b869-a651-df12-3291-53f0f3320501,"Gettinger, Timothy",LW,189,1.4619295184926733,0.0077350768174215
86d443fb-d036-6a5f-adfe-abd2286c4a74,"Blandisi, Joseph",F,228,1.451830658292627,0.0063676783258448
eaf6e42d-fc9b-2620-d315-6f442cf5afa0,"Bardreau, Cole",F,247,1.443905559432427,0.0058457714956778
c8435e7f-7ff0-6f11-6888-b412a9c7f67f,"Miller, Tommy",D,171,1.442477320307049,0.0084355398848365
8885b7bb-ab37-274e-de67-e4e0cb571d11,"Farinacci, John",C,233,1.4397138869504544,0.0061790295577272
eae0f98c-c856-b1d8-3723-60b369cbf5c9,"Hardman, Mike",LW,196,1.434245173296116,0.0073175774147761
17494d44-9ff1-9cf3-5f99-cc754342c12f,"Bishop, Clark",C,176,1.4244045126773677,0.0080932074583941
31afd5bc-827c-9211-5784-f7a96764b140,"Rondbjerg, Jonas",F,193,1.4081716678297285,0.0072962262581851
f4d0b772-1f4e-66ba-7ed2-54024c2c659b,"Reichel, Kristian",F,253,1.4007559897650623,0.0055365849397828
4447229a-e693-b7a3-6bbe-f464ae9917c4,"Pyyhtia, Mikael",LW,154,1.380080251221215,0.008961560072865
fc4b5423-4463-8a2b-f319-30916f7c8928,"Olofsson, Fredrik",C,48,1.3693230983949758,0.0285275645498953
d7535706-ab13-a4e2-1b01-b80ac5ff0720,"Andonovski, Corey",RW,205,1.3647150500116312,0.0066571465854225
2e33542c-6735-7a9d-beb1-3911e384f921,"McDonough, Aidan",LW,236,1.362285415212841,0.005772395827173
cd5a8c34-6586-e86b-765b-2dff9f65c51d,"Andrae, Emil",D,235,1.3503221679460349,0.0057460517784937
6e6168a5-df29-f732-cbd8-5e5d3ccfc780,"Back, Oskar",C,207,1.3480483833449646,0.006512311030652
e32c54a9-ee8c-8682-2ead-a00fcc67c40f,"Mete, Victor",D,236,1.3466154919748787,0.0057059978473511
7cb3042e-45eb-45ed-256b-52f95468e17e,"Stranges, Antonio",F,198,1.3413514770876955,0.0067745024095338
34f46eb8-532d-889d-33f8-51b226bd083d,"Vecchione, Mike",F,177,1.3398697371481745,0.0075698855206111
e64fc75f-ab07-a14e-a0ae-46ea4a5afc54,"Duszak, Joseph",D,232,1.3327099325424523,0.0057444393644071
b9289963-36ff-72f3-2e0f-5d1c271974dc,"Gruden, Jonathan",C,155,1.3181681786461974,0.0085043108299754
62962656-a554-8ab3-7d7f-5669fa932604,"Goncalves, Gage",C,240,1.3156850430332645,0.0054820210126386
68314a41-fbd6-d896-fb13-c348f321b1e6,"Wedman, Matthew",LW,74,1.3110397766922544,0.0177167537390845
f2672d3d-1839-4bbf-958e-0af6458a7c50,"Broberg, Philip",D,185,1.3084787159804612,0.0070728579242187
9123cf74-4ebf-4134-8942-ac14445c836b,"Todd, Nathan",F,306,1.306812049313795,0.0042706276121365
8dfc4cd9-4bed-d27e-f82a-aac7483571b8,"Stankoven, Logan",C,152,1.2981018841591072,0.0085401439747309
5a5d0830-e103-4d21-f233-e649aa2cb119,"Kesselring, Mike",D,32,1.2914608048383347,0.0403581501511979
9e0e0f1c-bcac-2b93-5f18-622924dfb131,"Gawanke, Leon",D,187,1.290610607117935,0.0069016610006306
87b124cb-b80e-9285-0449-4b9a169daf1e,"Wright, Cameron",RW,144,1.2651267736682954,0.0087856025949187
0d3d8f91-b7fc-3d13-09dd-0e51c390ed6f,"Crotty, Cameron",D,224,1.2614933705512916,0.0056316668328182
3bf23b92-9a1d-7c1c-38fc-d173028e1fca,"Fedun, Taylor",D,133,1.254825540823448,0.0094347785024319
e14d8b1e-280b-fcd3-8676-f0ec14a86d80,"Hirvonen, Roni",C,128,1.251528262386602,0.0097775645498953
45ee61a0-3386-8b93-6df5-89b02e23b13b,"Nijhoff, Logan",LW,83,1.249919748778786,0.0150592740816721
c0cc293f-af8f-d0d6-d86a-65f9e3ad1df1,"Damiani, Riley",F,209,1.2443928820655974,0.0059540329285435
eaab14dd-8505-cdf5-3f38-9f935e6969f3,"Nemec, Simon",D,53,1.2440928122819264,0.0234734492883382
95faf17f-eeab-555e-2e51-7af990402dc6,"Samoskevich, Mackie",RW,201,1.2435496627122593,0.0061868142423495
0fa13fd5-ec65-dc47-fa79-66e4a160144f,"Stromgren, William",LW,190,1.2130797859967442,0.0063846304526144
a855a24c-10d7-480c-5f02-f40cacd514f9,"Luff, Matt",RW,98,1.2100162828564789,0.0123471049271069
40b0831f-a686-8996-c0d1-ffbaf8b68616,"Carlile, Declan",D,263,1.2027494766224711,0.0045731919263211
efe32eee-dd5c-b72b-7da9-d193d8e04efc,"Klapka, Adam",RW,193,1.201065364038149,0.0062231366012339
787a8432-19e0-0887-53f2-a9f68ba36658,"Poirier, Jeremie",D,78,1.1882635496627123,0.0152341480725988
d08159e8-335c-017c-ec2d-22575807193d,"Okhotyuk, Nikita",D,45,1.1837404047452895,0.0263053423276731
6488121e-ed37-2c24-34b7-84a6b947486c,"Carroll, Joe",LW,148,1.1827901837636663,0.0079918255659707
3fa9dd4a-efae-a4f4-e00c-d5885556b815,"Meyers, Ben",C,68,1.1720062805303562,0.0172353864783875
01956662-5748-f2aa-a4b7-3501fc7c09f8,"Kovalenko, Nikolai",F,20,1.1705512909979066,0.0585275645498953
e85322f9-3cab-0b5b-4435-ed9cd9ef008c,"Dzingel, Ryan",F,34,1.1699371946964412,0.0344099174910718
9e7656e6-afdd-5100-adf6-0e1485917da6,"Thompson, Jack",D,285,1.149374273086765,0.0040328921862693
533724e1-ab7f-8b95-8049-65aba9809721,"Ness, Aaron",D,312,1.1481460804838344,0.0036799553861661
979ce1d2-e256-0268-4655-770bc7ebb936,"Andrusiak, Zack",LW,12,1.142330774598744,0.095194231216562
beb04132-9c13-08d6-e1fb-01fa5272d50c,"Kiviranta, Joel",LW,26,1.1417166782972783,0.0439121799345107
a3992b3e-5431-d578-46ae-c846ac78852b,"Hamblin, James",C,23,1.1382658757850663,0.0494898206863072
fc27738e-0887-ed94-4db2-89b7229b368c,"Barron, Travis",LW,216,1.1368771807397076,0.0052633202812023
fbcf5c7b-e2f6-d4dc-e865-f537963946fc,"Melanson, Jacob",F,166,1.1355757152826245,0.0068408175619435
066364b9-b235-6207-1061-3d0155cb2b66,"Smith, Ty",D,275,1.1343696208420573,0.0041249804394256
