player_id,player_name,position,n_press,total,total_per_press
5f6e7132-7315-97d1-1833-90ef2671c403,"Regenda, Pavol",LW,175,6.041652036692254,0.034523725923955736
6488121e-ed37-2c24-34b7-84a6b947486c,"Carroll, Joe",LW,140,6.008122362821324,0.04291515973443803
86d443fb-d036-6a5f-adfe-abd2286c4a74,"Blandisi, Joseph",F,216,5.970473008053578,0.027641078740988787
a55a9dc4-0d17-6c79-1200-0e6282e49b76,"True, Alexander",C,196,5.94424428557759,0.030327776967232604
3c97dc1d-a952-5220-56df-de7a5c64c208,"Mcging, Hugh",F,199,5.92703863037909,0.02978411372049794
67e1e8ce-d6e8-927b-8a0f-0eaf39b35fc6,"Pinho, Brian",F,223,5.919763080594201,0.026546022782933637
a792d2b1-ce98-c030-e583-39536e721171,"Clarke, Graeme",F,238,5.848588480372619,0.024573901178036216
fc414242-12e8-6043-d405-65eef24051c1,"Olausson, Oskar",F,158,5.809280015266838,0.03676759503333442
e69dd394-c120-c096-00ba-2db135c0a1b1,"Dube, Pierrick",RW,201,5.794304701723275,0.02882738657573769
b460c5a3-506f-26e8-0bd1-3e354b96b1b5,"Sourdif, Justin",RW,195,5.753117586198602,0.02950316710871078
05017054-7f2a-ab0a-f2bf-9c685b7f0789,"Mastrosimone, Robert",LW,137,5.742286147845458,0.04191449742952889
29bef5a1-cfab-3a79-60d0-9389a42a0e4a,"Cassels, Cole",F,270,5.684239450869301,0.021052738706923337
4a330c37-6650-01f9-b5c3-76e54ed5a565,"Blumel, Matej",F,203,5.658160849024691,0.02787271354199355
8885b7bb-ab37-274e-de67-e4e0cb571d11,"Farinacci, John",C,216,5.648211247918337,0.02614912614777008
a6b4086e-956a-6a17-e22c-83858e92ef99,"Condotta, Lucas",LW,198,5.6420853541555775,0.02849538057654332
4140108e-fd7c-f6c9-17ed-54d6cb083bb4,"Clifford, Kyle",LW,150,5.618301990143015,0.03745534660095343
ee133fc2-90e8-4f9f-b9da-0150fd7acd75,"Doan, Josh",RW,203,5.614867822617941,0.027659447402058824
